# 242Pu total cross section. 
# Source: ENDF/B-VIII.0

# E / MeV	CS / barn
2.40E+00	168.637
2.40E+00	168.901
2.40E+00	170.749
2.40E+00	172.862
2.40E+00	174.976
2.40E+00	175.77
2.40E+00	177.092
2.40E+00	178.415
2.40E+00	179.278
2.41E+00	182.157
2.41E+00	185.037
2.41E+00	187.92
2.41E+00	188.208
2.41E+00	188.523
2.41E+00	191.038
2.41E+00	194.184
2.42E+00	197.333
2.42E+00	199.855
2.42E+00	200.549
2.42E+00	201.243
2.42E+00	204.021
2.42E+00	208.192
2.43E+00	212.367
2.43E+00	213.761
2.43E+00	215.305
2.43E+00	216.85
2.43E+00	221.488
2.43E+00	225.552
2.44E+00	229.233
2.44E+00	229.664
2.44E+00	230.958
2.44E+00	234.194
2.44E+00	238.729
2.44E+00	244.785
2.44E+00	246.518
2.44E+00	248.425
2.45E+00	251.287
2.45E+00	257.975
2.45E+00	260.846
2.45E+00	262.93
2.45E+00	265.015
2.45E+00	272.323
2.46E+00	276.505
2.46E+00	278.789
2.46E+00	278.789
2.46E+00	285.65
2.46E+00	292.521
2.46E+00	293.668
2.46E+00	296.188
2.47E+00	299.967
2.47E+00	307.539
2.47E+00	313.859
2.47E+00	315.258
2.47E+00	315.958
2.47E+00	325.422
2.48E+00	334.904
2.48E+00	336.311
2.48E+00	337.015
2.48E+00	345.24
2.48E+00	355.523
2.48E+00	355.837
2.48E+00	362.917
2.48E+00	366.762
2.49E+00	378.322
2.49E+00	380.254
2.49E+00	388.856
2.49E+00	390.024
2.49E+00	402.901
2.49E+00	407.791
2.50E+00	415.809
2.50E+00	417.77
2.50E+00	429.824
2.50E+00	438.24
2.50E+00	441.693
2.50E+00	444.975
2.50E+00	461.195
2.50E+00	464.496
2.51E+00	467.796
2.51E+00	478.337
2.51E+00	495.095
2.51E+00	496.126
2.51E+00	497.16
2.51E+00	515.611
2.52E+00	528.993
2.52E+00	531.271
2.52E+00	536.301
2.52E+00	559.01
2.52E+00	566.606
2.52E+00	569.138
2.52E+00	583.169
2.53E+00	608.513
2.53E+00	608.513
2.53E+00	611.34
2.53E+00	636.508
2.53E+00	655.455
2.53E+00	658.612
2.53E+00	665.54
2.53E+00	693.355
2.53E+00	697.109
2.54E+00	708.418
2.54E+00	731.035
2.54E+00	731.035
2.54E+00	747.424
2.54E+00	767.91
2.54E+00	772.026
2.54E+00	789.89
2.54E+00	807.754
2.54E+00	816.728
2.55E+00	836.26
2.55E+00	850.908
2.55E+00	865.615
2.55E+00	881.671
2.55E+00	887.041
2.55E+00	913.887
2.55E+00	919.275
2.55E+00	942.882
2.55E+00	948.783
2.55E+00	978.395
2.55E+00	984.907
2.56E+00	1004.51
2.56E+00	1024.12
2.56E+00	1043.8
2.56E+00	1065.52
2.56E+00	1069.16
2.56E+00	1109.14
2.56E+00	1116.44
2.56E+00	1136.57
2.56E+00	1156.69
2.56E+00	1189.03
2.56E+00	1206.74
2.56E+00	1211.19
2.57E+00	1260.12
2.57E+00	1260.12
2.57E+00	1294.32
2.57E+00	1318.76
2.57E+00	1338.4
2.57E+00	1381.51
2.57E+00	1386.92
2.57E+00	1424.83
2.57E+00	1448.7
2.57E+00	1463.69
2.57E+00	1520.65
2.57E+00	1520.65
2.58E+00	1547.32
2.58E+00	1600.66
2.58E+00	1627.48
2.58E+00	1638.65
2.58E+00	1687.05
2.58E+00	1739.44
2.58E+00	1746.92
2.58E+00	1763.38
2.58E+00	1846.07
2.58E+00	1846.07
2.58E+00	1855.11
2.58E+00	1936.47
2.58E+00	1954.64
2.58E+00	1994.71
2.59E+00	2034.77
2.59E+00	2105.26
2.59E+00	2138.39
2.59E+00	2149.49
2.59E+00	2216.1
2.59E+00	2252.02
2.59E+00	2264.05
2.59E+00	2336.29
2.59E+00	2375.29
2.59E+00	2388.37
2.59E+00	2466.81
2.59E+00	2509.22
2.59E+00	2523.44
2.59E+00	2608.72
2.59E+00	2639.49
2.59E+00	2670.42
2.60E+00	2763.21
2.60E+00	2779.96
2.60E+00	2830.49
2.60E+00	2931.55
2.60E+00	2931.55
2.60E+00	3004.98
2.60E+00	3096.77
2.60E+00	3115.23
2.60E+00	3195.32
2.60E+00	3275.41
2.60E+00	3315.68
2.60E+00	3403.06
2.60E+00	3468.59
2.60E+00	3534.5
2.60E+00	3629.86
2.60E+00	3677.53
2.60E+00	3773.43
2.60E+00	3877.47
2.60E+00	3903.48
2.61E+00	4034.25
2.61E+00	4125.03
2.61E+00	4147.84
2.61E+00	4318.92
2.61E+00	4362.2
2.61E+00	4442.98
2.61E+00	4616.97
2.61E+00	4629.47
2.61E+00	4730.96
2.61E+00	4893.34
2.61E+00	4968.16
2.61E+00	5151.28
2.61E+00	5187.9
2.61E+00	5290.97
2.61E+00	5506.03
2.61E+00	5618.1
2.61E+00	5746.17
2.61E+00	5842.23
2.62E+00	6131.8
2.62E+00	6202
2.62E+00	6246.11
2.62E+00	6630.08
2.62E+00	6697.64
2.62E+00	6794.15
2.62E+00	7087.48
2.62E+00	7319.15
2.62E+00	7392.87
2.62E+00	7575.25
2.62E+00	7861.65
2.62E+00	8044.94
2.62E+00	8094.49
2.62E+00	8442.97
2.62E+00	8654.55
2.62E+00	8792.2
2.62E+00	9062.23
2.62E+00	9386.26
2.63E+00	9603.57
2.63E+00	9720.3
2.63E+00	10245.6
2.63E+00	10480.4
2.63E+00	10606
2.63E+00	11171.1
2.63E+00	11423.6
2.63E+00	11558
2.63E+00	12162.7
2.63E+00	12432.8
2.63E+00	12575.7
2.63E+00	13219
2.63E+00	13506.3
2.63E+00	13658.7
2.64E+00	14344.4
2.64E+00	15032.9
2.64E+00	15195
2.64E+00	15519.1
2.64E+00	16658.4
2.64E+00	16830.2
2.64E+00	17174
2.64E+00	18555
2.64E+00	19245.6
2.64E+00	19335.3
2.65E+00	22128
2.65E+00	22488.4
2.65E+00	25553.6
2.65E+00	25724.6
2.65E+00	26921.7
2.66E+00	28112.7
2.66E+00	28269.6
2.66E+00	29368
2.66E+00	29679.5
2.66E+00	29820.7
2.66E+00	30808.5
2.66E+00	31088.3
2.66E+00	31210.2
2.66E+00	32063.8
2.66E+00	32304.7
2.66E+00	32405.3
2.67E+00	33110.2
2.67E+00	33209.1
2.67E+00	33365.3
2.67E+00	33911.9
2.67E+00	33940.8
2.67E+00	34080.3
2.67E+00	34331.5
2.67E+00	34386
2.67E+00	34437.8
2.67E+00	34593.1
2.67E+00	34632
2.67E+00	34639.1
2.68E+00	34694.3
2.68E+00	34696.6
2.68E+00	34677.7
2.68E+00	34644.8
2.68E+00	34598.5
2.68E+00	34536.2
2.68E+00	34364.6
2.68E+00	34348.3
2.68E+00	34264.2
2.68E+00	33956
2.68E+00	33869.5
2.68E+00	33708.1
2.68E+00	33344.8
2.68E+00	33180.3
2.69E+00	33015.7
2.69E+00	32595.6
2.69E+00	32169
2.69E+00	31955.6
2.69E+00	31451.1
2.69E+00	30940.2
2.69E+00	30684.8
2.69E+00	30108.3
2.69E+00	29526.5
2.69E+00	29235.6
2.69E+00	28601.8
2.70E+00	27963.6
2.70E+00	27644.5
2.70E+00	26961.6
2.70E+00	25416.6
2.70E+00	25073.3
2.70E+00	24361.2
2.71E+00	19717.6
2.71E+00	19201.6
2.71E+00	18169.6
2.71E+00	17141.3
2.71E+00	17059.9
2.71E+00	15677.4
2.71E+00	15515.4
2.72E+00	15438.8
2.72E+00	14136.7
2.72E+00	13984.2
2.72E+00	13912.2
2.72E+00	12904.1
2.72E+00	12836
2.72E+00	12699.7
2.72E+00	11886.4
2.72E+00	11822.6
2.72E+00	11375.9
2.72E+00	10931.7
2.72E+00	10872.3
2.72E+00	10456
2.73E+00	10041.9
2.73E+00	9986.73
2.73E+00	9600.46
2.73E+00	9216.29
2.73E+00	9164.99
2.73E+00	8805.88
2.73E+00	8576.28
2.73E+00	8409.87
2.73E+00	8172.14
2.73E+00	7864.91
2.73E+00	7712.26
2.73E+00	7450.56
2.73E+00	7212.31
2.73E+00	7071.38
2.73E+00	6789.51
2.73E+00	6759.52
2.74E+00	6628.3
2.74E+00	6337.75
2.74E+00	6268.08
2.74E+00	6198.41
2.74E+00	5852.41
2.74E+00	5852.41
2.74E+00	5776.82
2.74E+00	5472.38
2.74E+00	5409.12
2.74E+00	5365.54
2.74E+00	5120.23
2.74E+00	5004.79
2.74E+00	4988.25
2.74E+00	4794.34
2.74E+00	4643.15
2.74E+00	4636.62
2.74E+00	4493.05
2.75E+00	4328.55
2.75E+00	4301.81
2.75E+00	4214.78
2.75E+00	4040.72
2.75E+00	3997.49
2.75E+00	3957.94
2.75E+00	3777.49
2.75E+00	3721.02
2.75E+00	3671.6
2.75E+00	3536.83
2.75E+00	3469.97
2.75E+00	3439.3
2.75E+00	3255.28
2.75E+00	3245.87
2.75E+00	3227.22
2.76E+00	3059.37
2.76E+00	3033.6
2.76E+00	2990.65
2.76E+00	2879.94
2.76E+00	2856.39
2.76E+00	2793.58
2.76E+00	2715.76
2.76E+00	2694.22
2.76E+00	2572.15
2.76E+00	2565.04
2.76E+00	2545.34
2.76E+00	2427.1
2.76E+00	2408.64
2.76E+00	2377.86
2.76E+00	2341.29
2.76E+00	2284.82
2.77E+00	2205.76
2.77E+00	2183.38
2.77E+00	2132.77
2.77E+00	2051.79
2.77E+00	2041.76
2.77E+00	2023.56
2.77E+00	1914.36
2.77E+00	1914.36
2.77E+00	1815.24
2.77E+00	1815.23
2.77E+00	1792.32
2.77E+00	1724.19
2.77E+00	1724.19
2.78E+00	1682.61
2.78E+00	1614
2.78E+00	1614
2.78E+00	1551.79
2.78E+00	1514.86
2.78E+00	1514.86
2.78E+00	1436.43
2.78E+00	1425.34
2.78E+00	1425.34
2.79E+00	1344.3
2.79E+00	1344.3
2.79E+00	1335.01
2.79E+00	1270.63
2.79E+00	1270.63
2.79E+00	1245.25
2.79E+00	1203.35
2.79E+00	1195.65
2.79E+00	1164.86
2.79E+00	1134.36
2.79E+00	1120.44
2.80E+00	1092.59
2.80E+00	1064.99
2.80E+00	1052.41
2.80E+00	1027.24
2.80E+00	1002.33
2.80E+00	990.932
2.80E+00	945.335
2.80E+00	940.096
2.80E+00	934.923
2.81E+00	893.545
2.81E+00	884.009
2.81E+00	864.937
2.81E+00	846.071
2.81E+00	837.352
2.81E+00	809.697
2.81E+00	802.548
2.81E+00	794.549
2.82E+00	762.552
2.82E+00	751.439
2.82E+00	751.325
2.82E+00	722.127
2.82E+00	708.616
2.82E+00	699.435
2.83E+00	681.778
2.83E+00	669.46
2.83E+00	652.815
2.83E+00	644.903
2.83E+00	633.637
2.83E+00	611.104
2.83E+00	610.863
2.83E+00	600.79
2.84E+00	580.168
2.84E+00	570.592
2.84E+00	555.934
2.84E+00	551.502
2.84E+00	542.715
2.85E+00	525.142
2.85E+00	508.708
2.85E+00	505.038
2.85E+00	489.133
2.85E+00	476.648
2.86E+00	466.662
2.86E+00	462.173
2.86E+00	450.824
2.86E+00	437.563
2.86E+00	430.015
2.86E+00	427.116
2.87E+00	414.976
2.87E+00	405.394
2.87E+00	397.642
2.87E+00	394.155
2.87E+00	385.374
2.88E+00	374.995
2.88E+00	369.094
2.88E+00	366.854
2.88E+00	357.281
2.89E+00	343.832
2.89E+00	341.817
2.89E+00	333.118
2.89E+00	319.095
2.90E+00	313.669
2.90E+00	311.234
2.90E+00	298.613
2.90E+00	291.527
2.91E+00	287.559
2.91E+00	280.144
2.91E+00	273.761
2.92E+00	264.791
2.92E+00	263.435
2.92E+00	257.662
2.92E+00	248.318
2.93E+00	244.669
2.93E+00	243.029
2.93E+00	234.499
2.94E+00	229.667
2.94E+00	226.915
2.94E+00	221.765
2.94E+00	217.356
2.95E+00	211.07
2.95E+00	210.113
2.95E+00	206.092
2.96E+00	199.485
2.96E+00	195.751
2.96E+00	192.822
2.96E+00	190.433
2.97E+00	186.224
2.97E+00	180.637
2.97E+00	177.453
2.98E+00	172.904
2.98E+00	169.526
2.98E+00	166.634
2.99E+00	159.48
2.99E+00	157.659
2.99E+00	156.844
3.00E+00	150.414
3.01E+00	148.02
3.01E+00	144.652
3.01E+00	142.159
3.02E+00	139.989
3.02E+00	134.548
3.03E+00	133.169
3.03E+00	132.55
3.03E+00	127.605
3.04E+00	126.346
3.04E+00	125.782
3.04E+00	121.285
3.05E+00	119.611
3.06E+00	115.443
3.06E+00	114.372
3.06E+00	113.894
3.07E+00	110.034
3.07E+00	108.61
3.08E+00	105.017
